GasSR,Humidity,Pressure,Temperature,PM1,PM10,PM2_5,IAQ,AQI
299.47,47.74,1004.91,29.57,51,75,65,55,SATISFACTORY
300.03,47.47,1004.85,29.71,54,78,68,60,SATISFACTORY
297.7,47.1,1004.83,29.81,57,78,70,60,SATISFACTORY
295,47.89,1004.83,29.96,61,82,76,55,SATISFACTORY
293.43,47.47,1004.83,30.07,58,79,73,60,SATISFACTORY
289.43,47.74,1004.81,30.25,64,84,79,55,SATISFACTORY
286.77,47.58,1004.79,30.37,59,78,72,55,SATISFACTORY
286.16,47.21,1004.79,30.52,56,76,70,60,SATISFACTORY
282.16,47.35,1004.79,30.69,53,74,65,65,SATISFACTORY
275.37,47.63,1004.79,30.87,50,72,62,60,SATISFACTORY
269.5,48.05,1004.75,31.04,37,66,51,60,SATISFACTORY
261.58,48.21,1004.75,31.22,34,61,47,60,SATISFACTORY
251.76,49.13,1004.71,31.39,31,55,43,55,SATISFACTORY
239.97,51.21,1004.71,31.56,29,54,40,55,SATISFACTORY
233.62,51.27,1004.69,31.67,28,50,39,65,SATISFACTORY
223.6,52.97,1004.71,31.8,26,50,37,65,SATISFACTORY
217.88,53.82,1004.69,31.89,25,42,34,70,SATISFACTORY
212.82,55.13,1004.67,31.94,21,33,31,70,SATISFACTORY
211.23,55.63,1004.65,31.96,23,44,34,70,SATISFACTORY
207.74,55.84,1004.67,31.94,23,48,32,75,SATISFACTORY
206.02,55.82,1004.63,31.93,24,45,34,75,SATISFACTORY
206.21,55.78,1004.61,31.94,25,43,36,75,SATISFACTORY
204.49,55.78,1004.61,31.93,25,48,38,80,SATISFACTORY
206,55.66,1004.55,31.94,26,44,37,80,SATISFACTORY
204.5,55.71,1004.53,31.91,26,51,39,80,SATISFACTORY
204.36,55.69,1004.55,31.89,29,48,39,75,SATISFACTORY
205.72,55.69,1004.53,31.89,29,48,37,75,SATISFACTORY
207.01,55.78,1004.49,31.89,27,47,37,70,SATISFACTORY
206.6,55.76,1004.47,31.9,27,52,39,70,SATISFACTORY
204.56,55.76,1004.47,31.89,28,55,41,75,SATISFACTORY
202.58,55.78,1004.41,31.88,27,55,41,75,SATISFACTORY
201.62,55.77,1004.4,31.88,26,50,37,80,SATISFACTORY
197.65,55.96,1004.36,31.87,27,50,38,85,SATISFACTORY
196.34,55.9,1004.3,31.87,27,54,40,85,SATISFACTORY
195.26,55.9,1004.3,31.86,27,51,38,85,SATISFACTORY
191.13,56.14,1004.26,31.86,29,52,39,90,SATISFACTORY
190.65,56.12,1004.22,31.86,29,56,42,90,SATISFACTORY
183.34,56.26,1004.16,31.84,33,60,47,100,SATISFACTORY
181.96,56.25,1004.14,31.83,34,62,48,105,MODERATE
188.14,56.15,1004.1,31.83,33,64,46,95,SATISFACTORY
185.32,56.23,1004.1,31.83,30,58,43,100,SATISFACTORY
182.17,56.43,1004.08,31.82,32,59,47,100,SATISFACTORY
183.37,56.38,1004.08,31.83,32,60,48,100,SATISFACTORY
182.11,56.42,1004.08,31.83,34,67,50,100,SATISFACTORY
184.03,56.48,1004.06,31.82,36,64,49,100,SATISFACTORY
184.63,56.43,1004.02,31.83,33,64,48,100,SATISFACTORY
188.2,56.4,1004.02,31.84,34,67,49,95,SATISFACTORY
188.31,56.45,1003.94,31.84,34,64,49,95,SATISFACTORY
189.38,56.45,1003.93,31.83,37,70,52,95,SATISFACTORY
190.55,56.45,1003.87,31.83,36,70,51,90,SATISFACTORY
191.07,56.31,1003.85,31.83,35,68,51,90,SATISFACTORY
190.84,56.29,1003.83,31.83,33,63,50,90,SATISFACTORY
191.87,56.3,1003.79,31.84,34,63,49,90,SATISFACTORY
191.46,56.33,1003.79,31.83,32,58,47,90,SATISFACTORY
192.12,56.38,1003.81,31.83,31,57,44,90,SATISFACTORY
191.52,56.31,1003.81,31.83,29,55,42,90,SATISFACTORY
190.51,56.38,1003.83,31.82,30,53,42,90,SATISFACTORY
191.11,56.26,1003.79,31.82,31,55,44,90,SATISFACTORY
190.51,56.23,1003.81,31.81,30,55,42,90,SATISFACTORY
190.92,56.14,1003.81,31.82,32,57,45,90,SATISFACTORY
190.52,56.09,1003.77,31.82,32,55,45,90,SATISFACTORY
189.62,56.1,1003.77,31.82,33,61,47,95,SATISFACTORY
187.83,56.22,1003.73,31.81,33,63,47,95,SATISFACTORY
187.49,56.27,1003.73,31.81,34,65,48,95,SATISFACTORY
184.95,56.23,1003.69,31.81,38,64,50,100,SATISFACTORY
184.62,56.29,1003.67,31.8,38,64,50,100,SATISFACTORY
183.89,56.36,1003.61,31.79,43,71,55,100,SATISFACTORY
182.6,56.47,1003.63,31.79,45,74,60,100,SATISFACTORY
183.48,56.47,1003.59,31.8,49,74,61,100,SATISFACTORY
184.57,56.49,1003.61,31.79,49,76,66,100,SATISFACTORY
184.51,56.52,1003.61,31.77,56,93,77,100,SATISFACTORY
184.79,56.58,1003.59,31.76,60,87,79,100,SATISFACTORY
186.3,56.57,1003.61,31.76,63,95,83,95,SATISFACTORY
188.3,56.61,1003.59,31.76,75,114,100,95,SATISFACTORY
187.79,56.64,1003.59,31.75,77,114,101,95,SATISFACTORY
188.61,56.57,1003.55,31.74,67,108,93,95,SATISFACTORY
188.78,56.55,1003.55,31.74,65,99,85,95,SATISFACTORY
190.18,56.48,1003.55,31.73,60,98,82,90,SATISFACTORY
191.24,56.53,1003.53,31.72,30,57,42,90,SATISFACTORY
192.65,56.41,1003.49,31.72,28,49,39,90,SATISFACTORY
192.36,56.38,1003.53,31.72,28,52,41,90,SATISFACTORY
193.23,56.34,1003.53,31.72,29,51,40,90,SATISFACTORY
193.83,56.34,1003.53,31.7,28,53,41,90,SATISFACTORY
